player_id,player_name,n_games,slope,r,p_two_sided
holmgch01,Chet Holmgren,77,-0.030830781900231904,-0.030777506507657832,0.790457113171611
walkelo01,Lonnie Walker IV,65,-0.03056737984813878,-0.0650863303140402,0.6064777030344949
osmande01,Cedi Osman,133,-0.030417485658955908,-0.11545668146701749,0.18571136870244886
anthoca01,Carmelo Anthony,64,-0.03041001694288178,-0.0688039994088263,0.5890423543464184
zubaciv01,Ivica Zubac,205,-0.029493652597593158,-0.07794195371679367,0.2666433032209623
davisan02,Anthony Davis,71,-0.02727865850533156,-0.03762247607958607,0.7554236221549562
beaslma01,Malik Beasley,224,-0.02404593158813166,-0.08287425054017078,0.21663134956246438
robinmi01,Mitchell Robinson,67,-0.023306502052366136,-0.05396489475076609,0.6644879745112984
smartma01,Marcus Smart,122,-0.019704222404142893,-0.042063272503379545,0.6454983870137472
allenja01,Jarrett Allen,135,-0.019392790356765874,-0.035972381058838446,0.67872119142824
goberru01,Rudy Gobert,197,-0.01682120752421014,-0.03830591572056751,0.5930483061346773
covinro01,Robert Covington,66,-0.01584388515101699,-0.06825401861967034,0.5860703748659579
willipa01,Patrick Williams,77,-0.0147936065929822,-0.049895874738823134,0.6665107367047568
ballla01,LaMelo Ball,70,-0.013771719567449513,-0.027952519616819514,0.8183237545771669
hamptrj01,R.J. Hampton,59,-0.012125843181996667,-0.05614005095581877,0.6727864753095418
brookdi01,Dillon Brooks,135,-0.01075813808408478,-0.019966654752029047,0.8182027349732802
harrito02,Tobias Harris,202,-0.010189812336899298,-0.017969118487811197,0.7996309454591414
coulibi01,Bilal Coulibaly,58,-0.00937175292248557,-0.020986650825678653,0.8757433967899383
georgke01,Keyonte George,70,-0.009066957526451161,-0.030839635777689688,0.7999303155265004
bambamo01,Mo Bamba,66,-0.00882721317729984,-0.022650930367667275,0.8567410578188686
josepco01,Cory Joseph,60,-0.008426751027299752,-0.03162961889675598,0.8104015005529659
loveke01,Kevin Love,126,-0.007371251528301787,-0.01725573010937867,0.8479153547978743
holidjr01,Jrue Holiday,188,-0.0066535306972431525,-0.010683380721986291,0.8843079540822703
caldwke01,Kentavious Caldwell-Pope,214,-0.006044279634312083,-0.013591024276105845,0.8433077918452376
podzibr01,Brandin Podziemski,69,-0.003121074058251379,-0.014129076304785401,0.9082655812603089
mathube01,Bennedict Mathurin,73,-0.0028692681780775587,-0.006946032150240249,0.9534911122450432
meltode01,De'Anthony Melton,140,-0.0023179215127204465,-0.008697118461618619,0.9187685649053451
metuch01,Chimezie Metu,55,-0.002170952993527808,-0.010041689228226893,0.9419951621286125
derozde01,DeMar DeRozan,214,-0.0017383051923972612,-0.0024861597202919723,0.9711576305825468
walkeja01,Jabari Walker,67,-0.0007189130106638293,-0.0037994301542217837,0.9756567206297487
huntede01,De'Andre Hunter,62,-0.00013993736699347424,-0.0004087860690893374,0.9974840523770458
antetgi01,Giannis Antetokounmpo,188,0.00033298792498775596,0.0005081589207637927,0.9944778408089961
greenda02,Danny Green,57,0.0009446535105196243,0.003946953413826102,0.97675392206558
carteje01,Jevon Carter,76,0.0022066750489572206,0.008657797057233293,0.9408294447168163
dortlu01,Luguentz Dort,143,0.0031447579376729057,0.005702807200684602,0.9461059061504642
stewais01,Isaiah Stewart,66,0.003670235118525595,0.010019993377267606,0.9363569923674311
cartewe01,Wendell Carter Jr.,57,0.0042191061358540895,0.009063514668439262,0.9466506618774305
thybuma01,Matisse Thybulle,121,0.004487081374898676,0.016450907640695296,0.8578641057704786
hendesc01,Scoot Henderson,57,0.004491915011378649,0.014981946805993032,0.9119244749482469
richani01,Nick Richards,62,0.004701475628759906,0.0196467072760398,0.8795303229857068
curryse01,Seth Curry,59,0.00476346290443811,0.011156188874919747,0.933166628386524
monkma01,Malik Monk,210,0.006110057880682935,0.017016897841503845,0.806344820943503
easonta01,Tari Eason,77,0.006115488866387425,0.020591942256782472,0.8589139072425646
camarto01,Toumani Camara,65,0.008900033151381657,0.037300095133185954,0.7680010263139939
greenjo02,Josh Green,55,0.009692735703877913,0.0449028206968996,0.7447847754985631
crowdja01,Jae Crowder,62,0.010124208806561862,0.018457833913345933,0.8867708110717367
batumni01,Nicolas Batum,128,0.010727076892385858,0.03947148631351105,0.6582282795479728
rosste01,Terrence Ross,116,0.011000727556708077,0.040651357993509565,0.6648214173902269
niangge01,Georges Niang,148,0.012039267631186531,0.03990606855304477,0.6301229323476456
browntr01,Troy Brown Jr.,71,0.012121939227036346,0.05604002515263485,0.6425151112228947
princta02,Taurean Prince,73,0.012472492389814701,0.06450576740974306,0.5876874889489407
okorois01,Isaac Okoro,197,0.01309508251657096,0.06783932564734149,0.3435355383976511
edwaran01,Anthony Edwards,215,0.013358693722038031,0.018333606821663535,0.7892545168016624
mannte01,Terance Mann,222,0.01391799957576662,0.05247620413220886,0.43656892495167526
bullore01,Reggie Bullock,136,0.01398067991968102,0.06319005374718197,0.46487370283396795
beverpa01,Patrick Beverley,130,0.014063351158267635,0.0679002874564972,0.4427298262793816
mclembe01,Ben McLemore,59,0.014200153992350854,0.05381508115735352,0.6856166480317598
porteot01,Otto Porter Jr.,58,0.014507693657907389,0.04432372616485309,0.7411176710659968
portibo01,Bobby Portis,209,0.01453930548833524,0.03547425524026805,0.6101003830722458
harrijo01,Joe Harris,69,0.014546096051298791,0.08297302996170264,0.4978956256924095
iveyja01,Jaden Ivey,141,0.015513285204943772,0.04412740287544745,0.603361377959291
daniedy01,Dyson Daniels,56,0.015796689191728792,0.09520234240184602,0.4852094424181594
smithja05,Jabari Smith Jr.,145,0.015983519570580692,0.036603126583321516,0.662044828143481
nembhan01,Andrew Nembhard,133,0.016196965245788512,0.07353333940800491,0.4002568916495581
huertke01,Kevin Huerter,198,0.016412743334426667,0.05474989089036403,0.44361901983778035
onealro01,Royce O'Neale,217,0.01648881904049974,0.08021596267497466,0.2393043792750135
morrimo01,Monte Morris,127,0.016712145373912773,0.03627089462304361,0.6855921850192263
strusma01,Max Strus,203,0.017235317199801595,0.07775942524851434,0.27014427709748573
vanvlfr01,Fred VanVleet,192,0.018099622988800784,0.02484184673130314,0.732333003608961
woodch01,Christian Wood,125,0.01826150495226955,0.05796785959832873,0.5207890139047071
riverau01,Austin Rivers,62,0.018732856508643404,0.08170573938033278,0.5278341380059517
looneke01,Kevon Looney,154,0.01951036816319927,0.06455377335701228,0.426384023833041
greenje02,Jeff Green,70,0.019709203467855645,0.07186029091381717,0.5544092622935135
leverca01,Caris LeVert,132,0.020000811576572866,0.05350207963526977,0.5423373697638981
toppiob01,Obi Toppin,77,0.0200055800500371,0.054309398608551954,0.6389876754334256
willigr01,Grant Williams,217,0.02018129093236442,0.07994055693532946,0.24092647990675212
okongon01,Onyeka Okongwu,75,0.020282656212185078,0.09272789625424525,0.42878870527068147
oubreke01,Kelly Oubre Jr.,134,0.021649053276582484,0.07742600155864722,0.37389038259285867
okekech01,Chuma Okeke,65,0.02177705792894526,0.05354200858251851,0.6718591879607513
craigto01,Torrey Craig,147,0.021817273937605075,0.11786946674513009,0.15506896652731972
murrake02,Keegan Murray,147,0.022455621396491404,0.053587842879165265,0.5191637890670037
millebr02,Brandon Miller,69,0.02271191951713801,0.05658427902440785,0.6442191475204821
marshna01,Naji Marshall,72,0.02289370208176961,0.13102339053567547,0.2726194741802015
foxde01,De'Aaron Fox,137,0.02344923887240083,0.03816105602941013,0.6579592839617933
mathega01,Garrison Mathews,60,0.023667217711352422,0.07418285869769416,0.573225603756463
mobleev01,Evan Mobley,138,0.02398106366836624,0.03744193884040893,0.6628401106742405
hieldbu01,Buddy Hield,230,0.02428032390681905,0.08102876724999902,0.22088406199638094
hortota01,Talen Horton-Tucker,115,0.024441504315970825,0.09875283737211728,0.2937151909371565
korkmfu01,Furkan Korkmaz,62,0.025545322913599754,0.17218931117537004,0.18081568961971917
tuckepj01,P.J. Tucker,136,0.025606926294672625,0.08757540916051985,0.310669350164966
burksal01,Alec Burks,76,0.026402991382091113,0.12572095846691433,0.27918768319029036
mcdanja02,Jaden McDaniels,206,0.026494497061630536,0.08732778149877607,0.2119766674819395
highsha01,Haywood Highsmith,61,0.026880830106362226,0.13159745088186547,0.3120399815111086
robindu01,Duncan Robinson,137,0.02767139228878311,0.07684824133624885,0.3720902765346518
suggsja01,Jalen Suggs,70,0.029126169229971872,0.06548334313615424,0.5901720300309302
horfoal01,Al Horford,182,0.02963632556012252,0.0790519612116988,0.28878880110210203
halibty01,Tyrese Haliburton,136,0.02978464486066066,0.056494365254161155,0.5135805054245601
bouchch01,Chris Boucher,146,0.029901522691356257,0.12610688350052104,0.12933752420814545
hardati02,Tim Hardaway Jr.,140,0.031144805566163763,0.10845756229670014,0.20211528726026165
martico01,Cody Martin,66,0.03179661289181744,0.12292567566190167,0.3254560478652825
willizi02,Ziaire Williams,57,0.031880570397149206,0.11858176919974978,0.37964869063420553
capelca01,Clint Capela,197,0.03223892745811559,0.07991983374780202,0.2642609684977758
grimequ01,Quentin Grimes,66,0.03252789653731591,0.17171204678925045,0.16801646805792583
jonesde02,Derrick Jones Jr.,71,0.03274865738206617,0.1322590397833081,0.27155363135324995
vandeja01,Jarred Vanderbilt,142,0.03341092672084779,0.10508185355593035,0.21328768321144156
bazleda01,Darius Bazley,64,0.03375480682497672,0.10745533787292663,0.39802668736209207
nesmiaa01,Aaron Nesmith,135,0.03439058742358624,0.09439469777231536,0.27615293710475725
branhma01,Malaki Branham,131,0.03442840848834006,0.15010422317225613,0.08703217579503146
dickgr01,Gradey Dick,55,0.03551216846234772,0.26503283515205844,0.05052223476345468
adamsst01,Steven Adams,71,0.03632869881176269,0.07428182247590698,0.5381246684784845
bradlav01,Avery Bradley,57,0.03645414062820194,0.1315267621310895,0.3294358411571943
leeda03,Damion Lee,69,0.03658401253954534,0.191081625920528,0.11577069445228333
bookede01,Devin Booker,126,0.03667128835230898,0.04841841871303984,0.5903045513075903
russeda01,D'Angelo Russell,197,0.0368059435769826,0.08753339182201911,0.2212842297307234
murrakr01,Kris Murray,57,0.03694759060929947,0.33302356244675596,0.011364788158036999
coffeam01,Amir Coffey,129,0.03696352776363977,0.21207261361465138,0.015832760549138028
williro04,Robert Williams,56,0.03699861917569987,0.12024864738160274,0.37735950152683867
lopezbr01,Brook Lopez,147,0.03709887317182072,0.06903150914360592,0.4060814085088032
aldamsa01,Santi Aldama,128,0.037143654063868034,0.16517348607976903,0.06243243743729863
beysa01,Saddiq Bey,207,0.037403003737082594,0.10848309690861757,0.11972140146668636
jokicni01,Nikola JokiÄ,207,0.037989752044841195,0.051215505019664424,0.46363047553466674
roziete01,Terry Rozier,182,0.03815455306616749,0.06879386610337096,0.35612219465060874
washipj01,P.J. Washington,196,0.038196573698446236,0.1151666681339297,0.10797253610817781
mcdanja01,Jalen McDaniels,75,0.03877893541973767,0.1932149391470383,0.09673821688696328
alexani01,Nickeil Alexander-Walker,137,0.03899208104482899,0.1839072942117925,0.031457246493860454
manntr01,Tre Mann,55,0.039101389182837946,0.20569019063413632,0.13192278988233297
agbajoc01,Ochai Agbaji,73,0.03927578014278026,0.2150431605565341,0.06769121292172856
alvarjo01,Jose Alvarado,56,0.03928171343736719,0.11042470570428402,0.4178325925085623
herroty01,Tyler Herro,123,0.03981544069904539,0.08084948911631773,0.3740217253400016
bateske01,Keita Bates-Diop,62,0.03991639024132031,0.24923650098373187,0.05076039711230445
jaqueja01,Jaime Jaquez Jr.,70,0.041379984071275924,0.17951957665124754,0.13700574361635828
martica02,Caleb Martin,180,0.04166750015253234,0.18904082317867468,0.011036601092261032
duranke01,Kevin Durant,70,0.04172201008989615,0.0367416178881985,0.7626753818442202
