player_id,name,G,MPG
gaffoda01,Daniel Gafford,78,20.6
garlada01,Darius Garland,69,35.5
giddejo01,Josh Giddey,76,31.1
gilgesh01,Shai Gilgeous-Alexander,68,35.5
goberru01,Rudy Gobert,70,30.7
gordoaa01,Aaron Gordon,68,30.2
gordoer01,Eric Gordon,69,28.5
grantje01,Jerami Grant,63,35.7
greendr01,Draymond Green,73,31.5
greenja05,Jalen Green,76,34.2
greenjo02,Josh Green,60,25.7
grimequ01,Quentin Grimes,71,29.9
hachiru01,Rui Hachimura,63,23.3
hardati02,Tim Hardaway Jr.,71,30.3
harrijo01,Joe Harris,74,20.6
harrito02,Tobias Harris,74,32.9
hartjo01,Josh Hart,76,32.3
hayeski01,Killian Hayes,76,28.3
herroty01,Tyler Herro,67,34.9
hieldbu01,Buddy Hield,80,31.0
holidjr01,Jrue Holiday,67,32.6
horfoal01,Al Horford,63,30.5
hortota01,Talen Horton-Tucker,65,20.2
huertke01,Kevin Huerter,75,29.4
huntede01,De'Andre Hunter,67,31.7
irvinky01,Kyrie Irving,60,37.4
iveyja01,Jaden Ivey,74,31.1
jacksja02,Jaren Jackson Jr.,63,28.4
jacksre01,Reggie Jackson,68,24.4
johnske04,Keldon Johnson,63,32.7
jokicni01,Nikola JokiÄ,69,33.7
joneshe01,Herbert Jones,66,29.6
jonestr01,Tre Jones,68,29.2
jonesty01,Tyus Jones,80,24.3
kesslwa01,Walker Kessler,74,23.0
kispeco01,Corey Kispert,74,28.3
konchjo01,John Konchar,72,20.8
kuminjo01,Jonathan Kuminga,67,20.8
kuzmaky01,Kyle Kuzma,64,35.0
lavinza01,Zach LaVine,77,35.9
leeda03,Damion Lee,74,20.4
leverca01,Caris LeVert,74,30.2
looneke01,Kevon Looney,82,23.9
lopezbr01,Brook Lopez,78,30.4
loveke01,Kevin Love,62,20.0
mannte01,Terance Mann,81,23.1
markkla01,Lauri Markkanen,66,34.4
marshna01,Naji Marshall,77,23.3
martica02,Caleb Martin,71,29.3
martike04,KJ Martin,82,28.0
mathube01,Bennedict Mathurin,78,28.5
maxeyty01,Tyrese Maxey,60,33.6
mccolcj01,CJ McCollum,75,35.3
mccontj01,T.J. McConnell,75,20.3
mcdanja01,Jalen McDaniels,80,23.9
mcdanja02,Jaden McDaniels,79,30.6
mcderdo01,Doug McDermott,64,20.5
meltode01,De'Anthony Melton,77,27.9
miltosh01,Shake Milton,76,20.6
mitchdo01,Donovan Mitchell,68,35.8
mobleev01,Evan Mobley,79,34.4
monkma01,Malik Monk,77,22.3
moranja01,Ja Morant,61,31.9
morrima03,Marcus Morris,65,28.1
morrimo01,Monte Morris,62,27.3
murphtr02,Trey Murphy III,79,31.0
murrade01,Dejounte Murray,74,36.4
murraja01,Jamal Murray,65,32.8
murrake02,Keegan Murray,80,29.8
nancela02,Larry Nance Jr.,65,21.2
nembhan01,Andrew Nembhard,75,27.6
nesmiaa01,Aaron Nesmith,73,24.9
okongon01,Onyeka Okongwu,80,23.1
okorois01,Isaac Okoro,76,21.7
olynyke01,Kelly Olynyk,68,28.6
onealro01,Royce O'Neale,76,31.7
osmande01,Cedi Osman,77,20.1
plumlma01,Mason Plumlee,79,26.0
poeltja01,Jakob Poeltl,72,26.5
poolejo01,Jordan Poole,82,30.0
portemi01,Michael Porter Jr.,62,29.0
portibo01,Bobby Portis,70,26.0
porzikr01,Kristaps PorziÅÄ£is,65,32.6
powelno01,Norman Powell,60,26.1
quickim01,Immanuel Quickley,81,28.9
randlju01,Julius Randle,77,35.5
reaveau01,Austin Reaves,64,28.8
richajo01,Josh Richardson,65,23.5
rosste01,Terrence Ross,63,21.1
roziete01,Terry Rozier,63,35.3
russeda01,D'Angelo Russell,71,32.5
sabondo01,Domantas Sabonis,79,34.6
schrode01,Dennis SchrÃ¶der,66,30.1
sengual01,Alperen ÅengÃ¼n,75,28.9
sharpsh01,Shaedon Sharpe,80,22.2
siakapa01,Pascal Siakam,71,37.4
simonan01,Anfernee Simons,62,35.0
smartma01,Marcus Smart,61,32.1
smithja05,Jabari Smith Jr.,79,31.0
strusma01,Max Strus,80,28.4
tatumja01,Jayson Tatum,74,36.9
thompkl01,Klay Thompson,69,33.0
trentga02,Gary Trent Jr.,66,32.1
tuckepj01,P.J. Tucker,75,25.6
turnemy01,Myles Turner,62,29.4
valanjo01,Jonas ValanÄiÅ«nas,79,24.9
vandeja01,Jarred Vanderbilt,78,24.1
vanvlfr01,Fred VanVleet,69,36.7
vincega01,Gabe Vincent,68,25.9
vucevni01,Nikola VuÄeviÄ,82,33.5
wagnefr01,Franz Wagner,80,32.6
washipj01,P.J. Washington,73,32.6
westbru01,Russell Westbrook,73,29.1
whiteco01,Coby White,74,23.4
whitede01,Derrick White,82,28.3
willigr01,Grant Williams,79,25.9
willija06,Jalen Williams,75,30.3
willipa01,Patrick Williams,82,28.3
woodch01,Christian Wood,67,25.9
youngtr01,Trae Young,73,34.8
zubaciv01,Ivica Zubac,76,28.6
